index,date_date,orders_id,customers_id,country,department,total_quantity,total_turnover
1434,2019-01-03,1748,1702,FRANCE,64.0,6,22.550000000000004
1435,2019-01-03,1875,1827,FRANCE,26.0,3,23.6
1436,2019-01-03,1951,1899,FRANCE,6.0,2,36.260000000000005
1437,2019-01-03,2004,1951,FRANCE,94.0,19,74.44999999999999
1438,2019-01-03,1547,1503,FRANCE,78.0,2,11.13
1439,2019-01-03,1799,1752,FRANCE,6.0,18,68.53000000000002
1440,2019-01-03,1544,1500,FRANCE,34.0,3,102.51
1441,2019-01-03,2233,2176,FRANCE,24.0,14,85.86
1442,2019-01-03,1696,1651,FRANCE,15.0,15,105.49
1443,2019-01-03,2241,2184,FRANCE,94.0,6,32.19
1444,2019-01-03,1753,1707,FRANCE,2.0,2,2.73
1445,2019-01-03,2315,2254,FRANCE,59.0,26,139.79
1446,2019-01-03,1704,1658,FRANCE,6.0,2,44.6
1447,2019-01-03,1878,1830,FRANCE,1.0,7,71.19999999999999
1448,2019-01-03,2318,2257,FRANCE,31.0,23,166.43
1449,2019-01-03,1558,1514,FRANCE,37.0,16,67.46
1450,2019-01-03,1623,1579,FRANCE,74.0,51,162.68
1451,2019-01-03,1790,1743,FRANCE,50.0,11,93.44
1452,2019-01-03,2020,1966,FRANCE,31.0,3,22.02
1453,2019-01-03,1664,1620,FRANCE,59.0,3,28.09
1454,2019-01-03,1902,1852,FRANCE,67.0,8,76.23
1455,2019-01-03,1824,1777,FRANCE,73.0,2,30.89
1456,2019-01-03,2081,2026,FRANCE,56.0,19,95.36
1457,2019-01-03,1823,1776,FRANCE,92.0,10,61.49
1458,2019-01-03,1604,1560,FRANCE,45.0,2,32.58
1459,2019-01-03,2312,2251,FRANCE,76.0,26,105.47
1460,2019-01-03,2187,2130,FRANCE,85.0,19,91.85
1461,2019-01-03,2253,2196,FRANCE,6.0,10,84.79
1462,2019-01-03,1652,1608,FRANCE,83.0,27,80.9
1463,2019-01-03,1915,1864,FRANCE,30.0,14,63.790000000000006
1464,2019-01-03,2283,2224,FRANCE,31.0,12,73.99000000000001
1465,2019-01-03,1520,1476,FRANCE,33.0,12,82.42
1466,2019-01-03,1591,1547,FRANCE,94.0,6,48.23
1467,2019-01-03,2243,2186,FRANCE,88.0,16,96.28
1468,2019-01-03,1556,1512,FRANCE,40.0,4,39.09
1469,2019-01-03,2217,2160,FRANCE,94.0,5,37.22
1470,2019-01-03,2022,1967,FRANCE,30.0,25,163.42
1471,2019-01-03,2089,2034,FRANCE,38.0,24,82.85000000000001
1472,2019-01-03,2011,1957,FRANCE,27.0,6,17.3
1473,2019-01-03,2002,1949,FRANCE,88.0,2,25.73
1474,2019-01-03,2147,2091,FRANCE,38.0,2,21.19
1475,2019-01-03,1509,1465,FRANCE,57.0,47,136.57999999999998
1476,2019-01-03,2224,2167,FRANCE,13.0,10,65.96999999999998
1477,2019-01-03,1785,1738,FRANCE,59.0,43,96.13
1478,2019-01-03,2280,2221,FRANCE,92.0,6,62.48
1479,2019-01-03,1865,1817,FRANCE,73.0,10,86.31
1480,2019-01-03,2339,2278,FRANCE,19.0,75,214.23
1481,2019-01-03,1676,1631,FRANCE,10.0,15,135.14999999999998
1482,2019-01-03,2271,2213,FRANCE,78.0,6,20.41
1483,2019-01-03,1608,1564,FRANCE,75.0,12,129.95
1484,2019-01-03,2102,2047,FRANCE,64.0,1,23.31
1485,2019-01-03,2358,2297,FRANCE,68.0,21,80.70999999999998
1486,2019-01-03,2200,2143,FRANCE,14.0,8,95.79
1487,2019-01-03,1744,1698,FRANCE,1.0,12,69.22
1488,2019-01-03,2072,2017,FRANCE,77.0,3,61.50999999999999
1489,2019-01-03,2211,2154,FRANCE,8.0,24,84.22000000000001
1490,2019-01-03,2327,2266,FRANCE,36.0,7,70.04
1491,2019-01-03,2289,2230,FRANCE,94.0,4,22.15
1492,2019-01-03,2295,2236,FRANCE,85.0,15,68.4
1493,2019-01-03,1871,1823,FRANCE,54.0,7,35.97
1494,2019-01-03,2229,2172,FRANCE,8.0,8,40.32
1495,2019-01-03,2162,2106,FRANCE,29.0,3,19.76
1496,2019-01-03,2338,2277,FRANCE,1.0,3,26.87
1497,2019-01-03,1726,1680,FRANCE,77.0,37,119.45
1498,2019-01-03,1829,1782,FRANCE,74.0,12,91.39
1499,2019-01-03,2258,2201,FRANCE,75.0,5,28.56
1500,2019-01-03,2166,2110,FRANCE,29.0,14,76.31
1501,2019-01-03,2109,2054,FRANCE,92.0,9,63.42
1502,2019-01-03,1680,1635,FRANCE,1.0,11,63.14
1503,2019-01-03,1760,1713,FRANCE,93.0,7,85.54
1504,2019-01-03,1913,1862,FRANCE,21.0,19,124.64
1505,2019-01-03,1626,1582,FRANCE,67.0,20,108.72
1506,2019-01-03,2252,2195,FRANCE,37.0,4,21.69
1507,2019-01-03,1817,1770,FRANCE,4.0,10,66.47
1508,2019-01-03,2107,2052,FRANCE,31.0,1,29.68
1509,2019-01-03,1912,1861,FRANCE,7.0,12,64.58000000000001
1510,2019-01-03,2163,2107,FRANCE,74.0,10,87.15
1511,2019-01-03,2052,1997,FRANCE,20.0,1,10.02
1512,2019-01-03,1697,1652,FRANCE,94.0,3,37.4
1513,2019-01-03,1872,1824,FRANCE,67.0,12,91.8
1514,2019-01-03,1708,1662,FRANCE,21.0,21,66.80000000000001
1515,2019-01-03,1510,1466,FRANCE,94.0,12,78.57
1516,2019-01-03,1874,1826,FRANCE,98.0,16,125.5
1517,2019-01-03,1598,1554,FRANCE,3.0,16,81.06
1518,2019-01-03,1649,1605,FRANCE,37.0,3,5.89
1519,2019-01-03,2326,2265,FRANCE,74.0,21,117.85
1520,2019-01-03,1541,1497,FRANCE,59.0,6,81.38
1521,2019-01-03,1903,1853,FRANCE,92.0,12,73.97999999999999
1522,2019-01-03,2300,2241,FRANCE,33.0,2,21.66
1523,2019-01-03,1864,1816,FRANCE,42.0,20,69.98
1524,2019-01-03,2234,2177,FRANCE,27.0,8,73.95
1525,2019-01-03,1631,1587,FRANCE,6.0,3,42.09
1526,2019-01-03,1831,1784,FRANCE,21.0,20,75.84
1527,2019-01-03,2064,2009,FRANCE,34.0,16,131.99
1528,2019-01-03,2025,1970,FRANCE,69.0,7,50.96
1529,2019-01-03,2171,2115,FRANCE,59.0,26,153.82999999999998
1530,2019-01-03,1654,1610,FRANCE,26.0,27,86.03
1531,2019-01-03,1904,1854,FRANCE,6.0,6,100.47
1532,2019-01-03,2344,2283,FRANCE,37.0,35,76.53999999999999
1533,2019-01-03,1862,1814,FRANCE,92.0,4,48.27
1534,2019-01-03,1937,1885,FRANCE,34.0,10,73.19
1535,2019-01-03,1648,1604,FRANCE,1.0,14,48.36
1536,2019-01-03,1978,1926,FRANCE,29.0,36,128.73
1537,2019-01-03,1917,1866,FRANCE,91.0,10,35.91
1538,2019-01-03,2071,2016,FRANCE,31.0,6,74.65
1539,2019-01-03,2080,2025,FRANCE,92.0,4,24.39
1540,2019-01-03,2009,1955,FRANCE,38.0,15,68.78
1541,2019-01-03,1577,1533,FRANCE,27.0,10,56.38
1542,2019-01-03,1634,1590,FRANCE,62.0,7,78.55000000000001
1543,2019-01-03,1765,1718,FRANCE,77.0,18,46.97
1544,2019-01-03,1590,1546,FRANCE,12.0,30,74.99
1545,2019-01-03,1837,1789,FRANCE,59.0,13,44.45
1546,2019-01-03,1673,1628,FRANCE,12.0,1,33.65
1547,2019-01-03,1535,1491,FRANCE,75.0,22,152.1
1548,2019-01-03,2237,2180,FRANCE,45.0,4,22.33
1549,2019-01-03,2139,2083,FRANCE,45.0,11,121.68
1550,2019-01-03,1655,1611,FRANCE,92.0,8,28.62
1551,2019-01-03,1722,1676,FRANCE,91.0,3,175.2
1552,2019-01-03,1717,1671,FRANCE,24.0,7,22.94
1553,2019-01-03,1879,1831,FRANCE,44.0,3,65.07
1554,2019-01-03,2272,2214,FRANCE,75.0,12,122.36
1555,2019-01-03,2146,2090,FRANCE,91.0,3,6.42
1556,2019-01-03,1663,1619,FRANCE,34.0,37,108.63
1557,2019-01-03,2335,2274,FRANCE,94.0,38,97.04000000000002
1558,2019-01-03,1970,1918,FRANCE,94.0,18,55.6
1559,2019-01-03,2103,2048,FRANCE,75.0,5,68.94
1560,2019-01-03,1583,1539,FRANCE,13.0,5,37.33
1561,2019-01-03,1815,1768,FRANCE,83.0,8,47.41
1562,2019-01-03,1845,1797,FRANCE,59.0,1,3.96
1563,2019-01-03,2359,2298,FRANCE,95.0,5,37.51
1564,2019-01-03,1958,1906,FRANCE,63.0,8,68.98
1565,2019-01-03,1521,1477,FRANCE,13.0,6,23.77
1566,2019-01-03,1678,1633,FRANCE,60.0,1,2.09
1567,2019-01-03,1931,1879,FRANCE,26.0,11,48.43
1568,2019-01-03,1800,1753,FRANCE,35.0,7,25.97
1569,2019-01-03,2184,2127,FRANCE,85.0,20,119.70000000000005
1570,2019-01-03,2337,2276,FRANCE,75.0,17,49.31000000000001
1571,2019-01-03,1987,1935,FRANCE,31.0,18,87.28
1572,2019-01-03,1716,1670,FRANCE,6.0,13,45.1
1573,2019-01-03,2050,1995,FRANCE,92.0,3,43.86
1574,2019-01-03,2222,2165,FRANCE,22.0,50,137.82
1575,2019-01-03,1758,1664,FRANCE,95.0,50,144.79999999999998
1576,2019-01-03,1543,1499,FRANCE,64.0,16,80.31
1577,2019-01-03,2268,2210,FRANCE,46.0,18,70.3
1578,2019-01-03,2231,2174,FRANCE,50.0,25,38.56
1579,2019-01-03,1925,1874,FRANCE,93.0,1,14.17
1580,2019-01-03,1508,1464,FRANCE,36.0,14,72.12
1581,2019-01-03,1657,1613,FRANCE,21.0,5,71.5
1582,2019-01-03,2219,2162,FRANCE,94.0,49,128.67000000000002
1583,2019-01-03,1787,1740,FRANCE,94.0,7,67.39
1584,2019-01-03,1956,1904,FRANCE,64.0,22,149.38
1585,2019-01-03,1513,1469,FRANCE,13.0,20,73.79
1586,2019-01-03,1734,1688,FRANCE,94.0,12,75.08
1587,2019-01-03,2088,2033,FRANCE,35.0,10,34.550000000000004
1588,2019-01-03,1718,1672,FRANCE,7.0,13,84.94
1589,2019-01-03,2134,2078,FRANCE,13.0,7,16.79
1590,2019-01-03,1595,1551,FRANCE,12.0,10,82.50999999999999
1591,2019-01-03,2095,2040,FRANCE,34.0,47,108.52000000000002
1592,2019-01-03,1524,1480,FRANCE,86.0,22,220.55
1593,2019-01-03,2047,1992,FRANCE,44.0,16,58.71
1594,2019-01-03,1514,1470,FRANCE,95.0,1,4.72
1595,2019-01-03,1691,1646,FRANCE,88.0,9,24.58
1596,2019-01-03,1962,1910,FRANCE,31.0,4,35.849999999999994
1597,2019-01-03,1834,46,FRANCE,11.0,6,63.29
