index,date_date,orders_id,customers_id,country,department,total_quantity,total_turnover
5546,2019-01-08,6497,6272,FRANCE,95.0,16,68.89
5547,2019-01-08,5994,5798,FRANCE,17.0,34,123.76999999999998
5548,2019-01-08,6034,5836,FRANCE,38.0,59,114.5
5549,2019-01-08,6054,5856,FRANCE,74.0,9,26.39
5550,2019-01-08,6420,6198,FRANCE,75.0,14,61.49000000000001
5551,2019-01-08,5978,5783,FRANCE,51.0,2,18.95
5552,2019-01-08,6377,6158,FRANCE,75.0,13,86.63000000000001
5553,2019-01-08,6040,5842,FRANCE,64.0,1,27.62
5554,2019-01-08,6418,6196,FRANCE,33.0,2,33.25
5555,2019-01-08,6072,5873,FRANCE,74.0,15,98.33
5556,2019-01-08,6241,6036,FRANCE,60.0,12,53.38
5557,2019-01-08,6415,6193,FRANCE,75.0,4,88.82000000000001
5558,2019-01-08,5973,5779,FRANCE,93.0,63,137.87
5559,2019-01-08,6430,6208,FRANCE,59.0,11,36.93
5560,2019-01-08,5863,5679,FRANCE,34.0,10,116.38
5561,2019-01-08,6225,6021,FRANCE,57.0,9,70.24000000000001
5562,2019-01-08,6062,5864,FRANCE,13.0,8,82.81
5563,2019-01-08,6368,6149,FRANCE,1.0,4,41.04
5564,2019-01-08,6094,2355,FRANCE,39.0,15,88.33
5565,2019-01-08,6450,6227,FRANCE,77.0,26,85.01
5566,2019-01-08,6500,6275,FRANCE,69.0,26,78.86
5567,2019-01-08,5824,5641,FRANCE,44.0,6,24.21
5568,2019-01-08,5959,5767,FRANCE,80.0,3,8.41
5569,2019-01-08,5982,5787,FRANCE,44.0,16,123.81999999999998
5570,2019-01-08,5896,5709,FRANCE,46.0,3,19.71
5571,2019-01-08,6238,6034,FRANCE,33.0,19,107.79
5572,2019-01-08,6035,5837,FRANCE,58.0,10,134.59
5573,2019-01-08,6434,6212,FRANCE,77.0,7,58.09
5574,2019-01-08,6446,6223,FRANCE,33.0,26,68.92999999999999
5575,2019-01-08,6333,6117,FRANCE,33.0,45,157.86
5576,2019-01-08,5873,5689,FRANCE,69.0,2,12.36
5577,2019-01-08,6219,6015,FRANCE,21.0,4,87.33
5578,2019-01-08,5809,5627,FRANCE,54.0,50,124.52
5579,2019-01-08,5895,5708,FRANCE,93.0,26,153.21999999999997
5580,2019-01-08,6264,6055,FRANCE,54.0,16,76.99000000000001
5581,2019-01-08,5870,5686,FRANCE,54.0,1,15.46
5582,2019-01-08,6013,5816,FRANCE,92.0,46,200.45999999999995
5583,2019-01-08,5881,5695,FRANCE,31.0,34,108.17
5584,2019-01-08,5817,5634,FRANCE,68.0,16,70.95
5585,2019-01-08,5998,5802,FRANCE,5.0,9,73.3
5586,2019-01-08,5942,5750,FRANCE,13.0,1,236.71
5587,2019-01-08,6165,5963,FRANCE,59.0,15,72.88
5588,2019-01-08,6332,1750,FRANCE,71.0,13,43.61
5589,2019-01-08,6198,3598,FRANCE,38.0,11,58.48
5590,2019-01-08,5949,5757,FRANCE,25.0,3,13.47
5591,2019-01-08,6330,6115,FRANCE,86.0,1,39.29
5592,2019-01-08,6031,5833,FRANCE,69.0,4,32.1
5593,2019-01-08,6064,5866,FRANCE,14.0,25,65.97
