index,date_date,orders_id,customers_id,country,department,total_quantity,total_turnover
8883,2019-01-12,9870,9456,FRANCE,71.0,6,76.52
8884,2019-01-12,9372,8985,FRANCE,53.0,10,39.16
8885,2019-01-12,9562,9164,FRANCE,,8,62.76
8886,2019-01-12,9674,9270,FRANCE,49.0,4,54.87
8887,2019-01-12,9874,5340,FRANCE,93.0,18,364.96
8888,2019-01-12,9851,9437,FRANCE,34.0,18,86.78999999999999
8889,2019-01-12,9648,9245,FRANCE,64.0,65,154.88000000000002
8890,2019-01-12,9378,8991,FRANCE,77.0,26,76.7
8891,2019-01-12,9487,9095,FRANCE,74.0,8,100.25
8892,2019-01-12,9738,9331,FRANCE,69.0,18,71.0
8893,2019-01-12,9397,9010,FRANCE,34.0,4,15.9
8894,2019-01-12,10041,9618,FRANCE,20.0,3,14.59
8895,2019-01-12,9483,9091,FRANCE,69.0,6,11.49
8896,2019-01-12,9717,9311,FRANCE,44.0,7,48.8
8897,2019-01-12,9959,9539,FRANCE,94.0,2,96.17
8898,2019-01-12,9662,9259,FRANCE,76.0,18,79.87
8899,2019-01-12,9962,9542,FRANCE,75.0,6,47.04
8900,2019-01-12,9735,9328,FRANCE,43.0,5,74.83
8901,2019-01-12,9500,6400,FRANCE,31.0,10,41.1
8902,2019-01-12,9769,9361,FRANCE,63.0,40,113.57
8903,2019-01-12,10011,9590,FRANCE,91.0,16,91.09
8904,2019-01-12,9702,9296,FRANCE,75.0,26,162.45000000000002
8905,2019-01-12,9699,9293,FRANCE,89.0,11,53.6
8906,2019-01-12,9594,9196,FRANCE,31.0,20,72.81
8907,2019-01-12,9436,9046,FRANCE,78.0,37,103.85
8908,2019-01-12,9672,9268,FRANCE,33.0,12,63.1
8909,2019-01-12,9595,3437,FRANCE,25.0,11,40.32
8910,2019-01-12,10039,9616,FRANCE,78.0,4,44.150000000000006
8911,2019-01-12,10023,9601,FRANCE,18.0,25,81.44999999999999
8912,2019-01-12,9905,9487,FRANCE,69.0,4,155.1
8913,2019-01-12,9561,9163,FRANCE,94.0,3,24.16
8914,2019-01-12,9408,763,FRANCE,56.0,2,43.79
8915,2019-01-12,9878,9462,FRANCE,33.0,6,45.0
8916,2019-01-12,9855,9441,FRANCE,38.0,13,65.91
8917,2019-01-12,9795,1937,FRANCE,77.0,5,83.5
8918,2019-01-12,9953,9533,FRANCE,7.0,2,56.86
8919,2019-01-12,9693,9287,FRANCE,75.0,18,134.27
8920,2019-01-12,9680,9274,FRANCE,6.0,5,59.18
8921,2019-01-12,9780,9372,FRANCE,33.0,3,20.040000000000003
8922,2019-01-12,9849,9436,FRANCE,44.0,6,18.15
8923,2019-01-12,9744,9337,FRANCE,84.0,3,33.22
8924,2019-01-12,9761,9353,FRANCE,94.0,10,37.18
8925,2019-01-12,9644,9241,FRANCE,58.0,4,48.64000000000001
8926,2019-01-12,9617,9214,FRANCE,79.0,12,49.46999999999999
8927,2019-01-12,9626,9223,FRANCE,74.0,4,53.28
8928,2019-01-12,9381,8994,FRANCE,7.0,6,41.2
8929,2019-01-12,9497,9105,FRANCE,15.0,18,93.3
8930,2019-01-12,9821,9410,FRANCE,31.0,12,70.35000000000001
8931,2019-01-12,9596,9197,FRANCE,38.0,7,40.9
8932,2019-01-12,9768,9360,FRANCE,37.0,18,111.53
8933,2019-01-12,9603,9203,FRANCE,75.0,18,112.31000000000002
8934,2019-01-12,9465,9073,FRANCE,35.0,3,34.49
8935,2019-01-12,9550,9152,FRANCE,32.0,16,86.47
8936,2019-01-12,10045,9621,FRANCE,59.0,16,51.01
8937,2019-01-12,9399,9012,FRANCE,43.0,6,50.52
8938,2019-01-12,9354,8970,FRANCE,76.0,36,121.78
8939,2019-01-12,9590,9192,FRANCE,29.0,4,19.98
8940,2019-01-12,9557,9159,FRANCE,69.0,2,17.48
8941,2019-01-12,9839,9428,FRANCE,74.0,14,72.39000000000001
8942,2019-01-12,9677,9271,FRANCE,16.0,10,76.03999999999999
8943,2019-01-12,9722,9316,FRANCE,75.0,68,253.68
8944,2019-01-12,10037,9614,FRANCE,91.0,17,96.54
8945,2019-01-12,9490,9098,FRANCE,92.0,35,143.62
8946,2019-01-12,9986,9565,FRANCE,29.0,1,9.21
8947,2019-01-12,9932,9513,FRANCE,33.0,1,25.42
8948,2019-01-12,9422,9033,FRANCE,8.0,2,9.86
8949,2019-01-12,9572,9174,FRANCE,63.0,16,66.38
8950,2019-01-12,9666,9262,FRANCE,93.0,25,88.84
8951,2019-01-12,9360,8974,FRANCE,38.0,13,46.67000000000001
8952,2019-01-12,9560,9162,FRANCE,13.0,3,80.03
8953,2019-01-12,9471,9079,FRANCE,17.0,5,69.21
8954,2019-01-12,9625,9222,FRANCE,21.0,25,128.14
8955,2019-01-12,9479,9087,FRANCE,1.0,7,53.64
8956,2019-01-12,9836,9425,FRANCE,33.0,13,73.08000000000001
8957,2019-01-12,9977,9556,FRANCE,92.0,11,50.790000000000006
8958,2019-01-12,9914,9496,FRANCE,63.0,11,50.95
8959,2019-01-12,9462,9070,FRANCE,38.0,5,51.94
8960,2019-01-12,9799,9390,FRANCE,95.0,4,17.43
8961,2019-01-12,9604,9204,FRANCE,45.0,17,65.75
8962,2019-01-12,10009,9588,FRANCE,22.0,13,116.23
8963,2019-01-12,9835,9424,FRANCE,29.0,12,76.36000000000001
8964,2019-01-12,9386,8999,FRANCE,83.0,3,11.02
8965,2019-01-12,9506,9110,FRANCE,69.0,12,53.16
8966,2019-01-12,9522,9125,FRANCE,69.0,7,62.88
8967,2019-01-12,10019,9597,FRANCE,83.0,11,50.98
8968,2019-01-12,9964,9544,FRANCE,47.0,8,95.49
8969,2019-01-12,9366,8979,FRANCE,93.0,2,87.23
8970,2019-01-12,9875,9459,FRANCE,75.0,7,63.97
8971,2019-01-12,9972,9552,FRANCE,83.0,9,42.48
8972,2019-01-12,9886,9469,FRANCE,26.0,4,27.69
8973,2019-01-12,9512,9116,FRANCE,50.0,17,98.6
8974,2019-01-12,9519,9123,FRANCE,10.0,25,91.96
8975,2019-01-12,9931,9512,FRANCE,29.0,20,72.16
8976,2019-01-12,9817,9407,FRANCE,54.0,9,78.14
8977,2019-01-12,9741,9334,FRANCE,65.0,5,53.6
8978,2019-01-12,9956,9536,FRANCE,67.0,13,73.07000000000001
8979,2019-01-12,9981,9560,FRANCE,50.0,35,189.33
8980,2019-01-12,9585,9187,FRANCE,92.0,11,44.03
8981,2019-01-12,9679,9273,FRANCE,29.0,53,214.29
8982,2019-01-12,10013,9592,FRANCE,76.0,7,31.78
8983,2019-01-12,9539,9141,FRANCE,29.0,25,80.32000000000001
8984,2019-01-12,9778,9370,FRANCE,31.0,25,86.17999999999999
8985,2019-01-12,9775,9367,FRANCE,69.0,1,8.48
8986,2019-01-12,9613,2901,FRANCE,83.0,25,105.44
